2.2.1.1.2.1,Edge Formwork,
2.2.1.1.3.1,Design Joints,
2.2.1.1.4.1,Surface Treatments,
2.2.1.2.1.1,Suspended Floor Slab,
2.2.1.3.1.1,Timber Floors,
2.2.1.4.1.1,Structural Screeds,
2.2.2.1.1,Balconies,
2.2.3.1.1,Rainwater Pipes,
2.2.3.2.1,Floor Outlets,
2.2.3.3.1,Testing of Installations,
2.2.3.4.1,Commissioning of Installations,
2.3,Roof,
2.3.1,Roof Structure,
2.3.1.1.1,Roof Structure Pitched Roofs,
2.3.1.2.1,Extra Over Roof Structure,
2.3.1.3.1,Prefabricated Dormers,
2.3.1.4.1,Roof Structure Flat Roofs,
2.3.2.1.1,Roof Coverings Non Structural Screeds Thermal Insulation and Surface Treatments,
2.3.2.2.1,Extra Over Roof Coverings to Dormers Including Cladding to Dormer Cheeks,
2.3.2.3.1,Eaves Verge Treatment to Pitched Roofs,
2.3.2.4.1,Edge Treatment to Flat Roofs,
2.3.2.5.1,Flashings,
2.3.3.1.1,Specialist Roof Systems,
2.3.4.1.1,Gutters,
2.3.4.2.1,Rainwater Pipes,
2.3.4.3.1,Testing Installations,
2.3.4.4.1,Commissioning of Installations,
2.3.5.1,Rooflights Skylights and Openings,
2.3.6.1.1,Roof Features,
2.4,Stairs and Ramps,
2.4.1.1.1,Stair Structures,
2.4.1.2.1,Ramp Structures,
2.4.2.1.1,Stair Finishes,
2.4.2.2.1,Ramp Finishes,
2.4.3.1.1,Wall Handrails,
2.4.3.2.1,Combined Balustrades and Handrails,
2.4.4.1.1,Ladders,
2.4.4.2.1,Chutes,
2.4.4.3.1,Slides,
2.5,External Walls,
2.5.1.1.1,External Walls,
2.5.1.10.1,Safety Barriers Handrails or Combined Balusters and Handrails to Facetted Glazing or Cladding Systems,
2.5.1.11.1,Finishes Applied to External Walls,
2.5.1.2.1,Extra Over External Walls for Plinths Cornices Ornamental Bands,
2.5.1.3.1,Extra Over External Walls for Quoins,
2.5.1.4.1,Extra Over External Walls for Forming Openings for Windows,
2.5.1.5.1,Extra Over External Walls for Forming Openings for External Doors,
2.5.1.6.1,Extra Over Cladding or Curtain Walling System for Integral Photovoltaic Panels,
2.5.1.7.1,Extra Over Cladding or Curtain Walling System for Integral Opening Vents and Panels,
2.5.1.8.1,Projecting Fins to Cladding or Curtain Walling System,
2.5.1.9.1,Extra Over Projecting Fins for Applied Artwork,
2.5.2.1.1,External Walls,
2.5.2.2.1,Extra Over External Walls for Plinths Cornices Ornamental Bands,
2.5.2.3.1,Extra Over External Walls for Quoins,
2.5.2.4.1,Extra Over External Walls for Forming Openings for Windows,
2.5.2.5.1,Extra Over External Walls for Forming Openings for External Doors,
2.5.2.6.1,Finishes to External Walls,
2.5.3.1.1,Vertical Solar Rain Screening,
2.5.3.2.1,Horizontal Solar Rain Screening,
2.5.4.1.1,External Soffit,
2.5.4.2.1,Cornices Coverings,
2.5.4.3.1,Shadow Gaps,
2.5.4.4.1,Access Hatches,
2.5.4.5.1,Finishes Applied to External Soffit,
2.5.5.1.1,Walls,
2.5.5.10.1,Commissioning of Rainwater Drainage Installations,
2.5.5.2.1,Walls Forming Planters,
2.5.5.3.1,Combined Balustrades and Handrails,
2.5.5.4.1,Wall Mounted Handrails,
2.5.5.5.1,Parapet Railings,
2.5.5.6.1,Proprietary Bolt-on Balconies,
2.5.5.7.1,Rainwater Pipes,
2.5.5.8.1,Floor Outlets,
2.5.5.9.1,Testing of Rainwater Drainage Installations,
2.5.6.1.1,Facade Cleaning Systems,
2.5.6.2.1,Testing of Installations,
2.5.6.3.1,Commissioning of Installations,
2.6,Windows and External Doors,
2.6.1.1.1,Windows,
2.6.1.2.1,Louvers,
2.6.1.3.1,Shop Fronts,
2.6.1.4.1.1,Roller Shutters,
2.6.1.4.2.1,Sliding Shutters,
2.6.1.4.3.1,Grilles,
2.6.2.1.1,External Doors,
2.6.2.2.1,Revolving Doors,
2.6.2.3.1,Shop Front Doors,
2.6.2.4.1.1,Roller Shutters,
2.6.2.4.2.1,Sliding Shutters,
2.6.2.5.1,Garage Doors,
2.6.2.6.1,Canopies,
2.6.2.7.1,Grilles,
2.6.2.8.1,Architraves,
2.7,Internal Walls and Partitions,
2.7.1.1.1,Internal Walls,
2.7.1.2.1,Extra Over Internal Walls for Forming Openings,
2.7.1.3.1,Fixed Partitions,
2.7.1.4.1,Extra Over Fixed Partitions,
2.7.2.1.1,Combined Balustrades and Handrails,
2.7.3.1.1,Moveable Room Dividers and Partitions,
2.7.4.1.1,Cubicles,
2.7.4.2.1,Fixed Partitions,
2.8,Internal Doors,
2.8.1.1,Internal Doors,
2.8.2.1,Fire Resisting Doors,
2.8.3.1,Door Sets,
2.8.4.1,Composite Door and Sidelights,
2.8.5.1.1,Roller Shutters,
2.8.5.2.1,Sliding Shutters,
2.8.5.3.1,Grilles,
2.8.6.1,Architraves,
3,Internal Finishes,
3.1,Wall Finishes,
3.1.1.1,Finishes to Walls and Columns,
3.1.2.1,Picture Rails Dado Rails,
3.1.3.1,Proprietary Impact and Bumper Guards Protection Strips Corner Protectors,
3.2,Floor Finishes,
3.2.1.1.1,Finishes to Floors,
3.2.1.2.1,Specialist Flooring Systems,
3.2.1.3.1,Skirtings,
3.2.1.4.1,Mat Wells and Mats,
3.2.1.5.1,Finishes to Swimming Pool Tanks Including Linings,
3.2.1.6.1,Line Markings,
3.2.1.7.1,Numeral and Symbols,
3.2.2.1.1,Raised Access Floors Systems,
3.2.2.2.1,Skirtings,
3.3,Ceiling Finishes,
3.3.1.1.1,Finishes to Ceilings,
3.3.1.2.1,Cornices Covings,
3.3.2.1.1,False Ceilings,
3.3.2.2.1,Cornices Covings,
3.3.2.3.1,Access Hatches,
3.3.3.1.1,Demountable Suspended Ceilings,
3.3.3.2.1,Shadow Gaps,
3.3.3.3.1,Access Hatches,
4,Fittings Furnishes and Equipment,
4.1,General Fittings Furnishings Equipment,
4.1.1.1,Fittings,
4.1.2.1,Furnishings,
4.1.3.1,Equipment,
4.2,Domestic Kitchen Fittings and Equipment,
4.2.1.1,Kitchen Units,
4.2.2.1,Kitchen Appliances,
4.2.3.1,Waste Bins Towel Rails Storage Racks and Other Accessories,
4.3,Special Purpose Fittings Furnishings and Equipment,
4.3.1.1,Fittings,
4.3.2.1,Furnishings,
4.3.3.1,Equipment,
4.4.1.1,Component,
4.5.1.1,Objects DArt and Other Ornamental Features,
4.5.2.1,Decorative Features and Panels,
4.6.1.1,Equipment,
4.6.2.1,Removable Ladders and the Like,
4.7.1.1,Plant and Shrub Beds,
4.7.2.1,Plant Containers,
4.7.3.1,Trees,
4.7.4.1,Tree Planters,
4.8.1.1,Wires Net Traps,
4.8.2.1,Electronic and Sonic System,
4.8.3.1,Bird Repellent Coatings,
5,Services,
5.1,Sanitory Installations,
5.1.1.1.1,Sanitory Appliances,
5.1.1.2.1,Testing of Installations,
5.1.1.3.1,Commissioning of Installations,
5.1.2.1.1,Fittings,
5.2.1.1.1,Services Equipment,
5.2.1.2.1,Testing of Installations,
5.2.1.3.1,Commissioning of Installations,
5.3.1.1.1,Drainage to Sanitary Appliance,
5.3.1.2.1,Drainage to Services Equipment,
5.3.1.3.1,Testing of Installations,
5.3.1.4.1,Commissioning of Installations,
5.3.2.1.1,Drainage to Appliance or Equipment,
5.3.2.2.1,Testing of Installations,
5.3.2.3.1,Commissioning of Installations,
5.3.3.1.1,Refuse Disposal Installations,
5.3.3.2.1,Testing of Installations,
5.3.3.3.1,Commissioning of Installations,
5.4.1.1.1,Mains Water Supply,
5.4.1.2.1,Testing of Installations,
5.4.1.3.1,Commissioning of Installations,
5.4.2.1.1,Cold Water Distribution,
5.4.2.2.1,Storage Tanks,
5.4.2.3.1,Rain Water Harvesting Systems,
5.4.2.4.1,Testing of Installations,
5.4.2.5.1,Commissioning of Installations,
5.4.3.1.1,Hot Water Distribution,
5.4.3.2.1,Testing of Installations,
5.4.3.3.1,Commissioning of Installations,
5.4.4.1.1,Water Heaters,
5.4.4.2.1,Testing of Installations,
5.4.4.3.1,Commissioning of Installations,
5.4.5.1.1,Steam and Condensation Distribution,
5.4.5.2.1,Testing of Installations,
5.4.5.3.1,Commissioning of Installations,
5.5.1.1.1,Heat Source,
5.5.1.2.1,Testing of Installations,
5.5.1.3.1,Commissioning of Installations,
5.6.1.1.1,Central Heating Systems,
5.6.1.2.1,Testing of Installations,
5.6.1.3.1,Commissioning of Installations,
5.6.2.1.1,Heaters,
5.6.2.2.1,Testing of Installations,
5.6.2.3.1,Commissioning of Installations,
5.6.3.1.1,Central Cooling Systems,
5.6.3.2.1,Testing of Installations,
5.6.3.3.1,Commissioning of Installations,
5.6.4.1.1,Cooling Units,
5.6.4.2.1,Testing of Installations,
5.6.4.3.1,Commissioning of Installations,
5.6.5.1.1,Combined Central Heating and Cooling Systems,
5.6.5.2.1,Testing of Installations,
5.6.5.3.1,Commissioning of Installations,
5.6.6.1.1,Local Heating and Cooling Units,
5.6.6.2.1,Testing of Installations,
5.6.6.3.1,Commissioning of Installations,
5.6.7.1.1,Central Air Conditioning Systems,
5.6.7.2.1,Testing of Installations,
5.6.7.3.1,Commissioning of Installations,
5.6.8.1.1,Self Contained Air Conditioning Units,
5.6.8.2.1,Other Local Air Conditioning Units,
5.6.8.3.1,Testing of Installations,
5.6.8.4.1,Commissioning of Installations,
5.7.1.1.1,Central Ventilation Systems,
5.7.1.2.1,Testing of Installations,
5.7.1.3.1,Commissioning of Installations,
5.7.2.1.1,Toilet Bathroom Ventilation Units,
5.7.2.10.1,Roof Mounted Ventilation Units,
5.7.2.11.1,Car Parking Ventilation Units,
5.7.2.12.1,Other Local and Special Ventilation Systems,
5.7.2.13.1,Testing of Installations,
5.7.2.14.1,Commissioning of Installations,
5.7.2.2.1,Kitchen Ventilation Units,
5.7.2.3.1,Safety Cabinet and Fume Cupboard Extracts,
5.7.2.4.1,Fume Extracts,
5.7.2.5.1,Dust Collection Units,
5.7.2.6.1,Anaesthetic Gas Extracts,
5.7.2.7.1,Cyclone Systems,
5.7.2.8.1,Unit Extract Fans,
5.7.2.9.1,Rotating Ventilators,
5.7.3.1.1,Smoke Extract Control Systems,
5.7.3.2.1,Testing of Installations,
5.7.3.3.1,Commissioning of Installations,
5.8.1.1.1,Electrical Mains and Sub-Mains Distribution,
5.8.1.2.1,Testing of Installations,
5.8.1.3.1,Commissioning of Installations,
5.8.2.1.1,Power Installations,
5.8.2.2.1,Testing of Installations,
5.8.2.3.1,Commissioning of Installations,
5.8.3.1.1,Lighting Installations,
5.8.3.2.1,Testing of Installations,
5.8.3.3.1,Commissioning of Installations,
5.8.4.1.1,Specialist Lighting Installations,
5.8.4.2.1,Testing of Installations,
5.8.4.3.1,Commissioning of Installations,
5.8.5.1.1.1,Electricity Generation Systems,
5.8.5.1.2.1,Testing of Installations,
5.8.5.1.3.1,Commissioning of Installations,
5.8.5.2.1.1,Wind Turbines,
5.8.5.2.2.1,Photovoltaic Devices,
5.8.5.2.3.1,Other Transformation Devices,
5.8.5.2.4.1,Testing of Installations,
5.8.5.2.5.1,Commissioning of Installations,
5.8.6.1.1,Earthing and Bonding Systems,
5.8.6.2.1,Testing of Installations,
5.8.6.3.1,Commissioning of Installations,
5.9.1.1.1,Fuel Storage,
5.9.1.2.1,Testing of Installations,
5.9.1.3.1,Commissioning of Installations,
5.9.2.1.1,Piped Distribution Systems,
5.9.2.2.1,Testing of Installations,
5.9.2.3.1,Commissioning of Installations,
5.10.1.1.1.1,Passenger Lifts,
5.10.1.1.2.1,Wall Climbing Lift,
5.10.1.1.3.1,Goods Lift,
5.10.1.1.4.1,Testing Lift Installations,
5.10.1.1.5.1,Commissioning Lift Installations,
5.10.1.2.1.1,Enclosed Hoists,
5.10.1.2.2.1,Testing of Enclosed Hoists Installations,
5.10.1.2.3.1,Commissioning of Enclosed Hoists Installations,
5.10.10.1,Other Lift and Conveyor Installations,
5.10.2.1.1,Escalators,
5.10.3.1.1,Movement Pavements,
5.10.3.2.1,Testing of Installations,
5.10.3.3.1,Commissioning of Installations,
5.10.4.1.1,Powered Stairlifts,
5.10.4.2.1,Testing of Installations,
5.10.4.3.1,Commissioning of Installations,
5.10.5.1.1,People Conveyors,
5.10.5.2.1,Goods Conveyor,
5.10.5.3.1,Testing of Installations,
5.10.5.4.1,Commissioning of Installations,
5.10.6.1.1,Dock Levellers and Scissor Lifts,
5.10.6.2.1,Scissor Lifts,
5.10.6.3.1,Testing of Installations,
5.10.6.4.1,Commissioning of Installations,
5.10.7.1.1,Cranes,
5.10.7.2.1,Travelling Cranes,
5.10.7.3.1,Unenclosed Hoists,
5.10.7.4.1,Testing of Installations,
5.10.7.5.1,Commissioning of Installations,
5.10.8.1.1,Car Lifts,
5.10.8.2.1,Car Stacking Systems,
5.10.8.3.1,Vehicle Turntables,
5.10.8.4.1,Testing of Installations,
5.10.8.5.1,Commissioning of Installations,
5.10.9.1.1,Document Handling Delivery Systems,
5.10.9.2.1,Warehouse Picking Systems,
5.10.9.3.1,Other Systems,
5.10.9.4.1,Testing of Installations,
5.10.9.5.1,Commissioning of Installations,
5.11.1.1.1,Fire Hose Reels,
5.11.1.2.1,Dry Risers,
5.11.1.3.1,Wet Risers,
5.11.1.4.1,Fire and Smoke Protection Curtain,
5.11.1.5.1,Other Fire Fighting Systems,
5.11.1.6.1,Testing of Installations,
5.11.1.7.1,Commissioning of Installations,
5.11.2.1.1,Sprinklers,
5.11.2.2.1,Deluge Systems,
5.11.2.3.1,Gas Fire Fighting Systems,
5.11.2.4.1,Foam Fire Fighting Systems,
5.11.2.5.1,Other Fire Supression Systems,
5.11.2.6.1,Testing of Installations,
5.11.2.7.1,Commissioning of Installations,
5.11.3.1.1,Lightning Protection Installations,
5.11.3.2.1,Testing of Installations,
5.11.3.3.1,Commissioning of Installations,
5.12.1.1.1,Telecommunication Systems,
5.12.1.10.1,Clocks Card Clocks Flexitime Installations,
5.12.1.11.1,Door Entry Systems,
5.12.1.12.1,Radio and Televisions,
5.12.1.13.1,Television Systems,
5.12.1.14.1,TV Monitors,
5.12.1.15.1,Pneumatic Message Systems,
5.12.1.16.1,Other Communication Systems,
5.12.1.17.1,Testing of Installations,
5.12.1.18.1,Commissioning of Installations,
5.12.1.2.1,Data Transmission Systems,
5.12.1.3.1,Paging and Emergency Call Systems,
5.12.1.4.1,Public Address and Conference Audio Systems,
5.12.1.5.1,Radio Systems,
5.12.1.6.1,Projection Systems,
5.12.1.7.1,Fire Detection and Alarm Systems,
5.12.1.8.1,Smoke Detection and Alarm Systems,
5.12.1.9.1,Liquid Detection Systems,
5.12.2.1.1,Surveillance Equipment,
5.12.2.10.1,Commissioning of Installations,
5.12.2.2.1,Security Detection Equipment,
5.12.2.3.1,Security Alarm,
5.12.2.4.1,Access Control Systems,
5.12.2.5.1,Burglar and Security Alarms,
5.12.2.6.1,Door Entry Systems,
5.12.2.7.1,Security Lights and Lighting Systems,
5.12.2.8.1,Other Security Systems,
5.12.2.9.1,Testing of Installations,
5.12.3.1.1,Central Control Building Management Systems,
5.12.3.2.1,Computer Aided Management Facilities Management System,
5.12.3.3.1,Testing of Installations,
5.12.3.4.1,Commissioning of Installations,
5.13.1.1.1,Medical and Laboratory Gas Supply Systems,
5.13.1.2.1,Centralised Vacuum Cleaning Systems,
5.13.1.3.1,Treated Water Systems,
5.13.1.4.1,Swimming Pool Water Treatment Systems,
5.13.1.5.1,Compressed Air Systems,
5.13.1.6.1,Vacuum Installations,
5.13.1.7.1,Other Specialist Piped Supply Systems,
5.13.1.8.1,Testing of Installations,
5.13.1.9.1,Commissioning of Installations,
5.13.2.1.1,Cold Rooms,
5.13.2.2.1,Ice Pads,
5.13.2.3.1,Other Specialist Refrigeration Systems,
5.13.2.4.1,Testing of Installations,
5.13.2.5.1,Commissioning of Installations,
5.13.3.1.1,Other Specialist Installations,
5.13.3.2.1,Testing of Installations,
5.13.3.3.1,Commissioning of Installations,
5.13.4.1.1,Specialist Electrical and Electronic Installations and or Systems,
5.13.4.2.1,Testing of Installations,
5.13.4.3.1,Commissioning of Installations,
5.13.5.1.1,Water Features,
5.13.5.2.1,Testing of Installations,
5.13.5.3.1,Commissioning of Installations,
5.14.1.1.1,Builders Work in General Areas,
5.14.1.2.1,Builders Work in Landlord Areas,
5.14.1.3.1,Large Plant and Equipment Bases,
5.14.1.4.1,Fuel Bunds,
6,Prefabricated Buildings and Building Units,
6.1,Complete Buildings,
6.1.1.1,Prefabricated Modular Buildings,
6.1.2.1,Onsite Testing of Installations,
6.1.3.1,Onsite Commissioning of Installations,
6.2.1.1,Prebaricated Room Units,
6.2.2.1,Onsite Testing of Installations,
6.2.3.1,Onsite Commissioning of Installations,
6.3.1.1,Prefabricated Bathroom Pods,
6.3.2.1,Prefabricated Toilet Pods,
6.3.3.1,Prefabricated Shower Room Pods,
6.3.4.1,Onsite Testing of Installations,
6.3.5.1,Onsite Commissioning of Installations,
7,Work to Existing Buildings,
7.1,Minor Demolition Works and Alteration Works,
7.1.1.1.1,Spot Items,
7.1.1.2.1,Minor Demolition Works,
7.1.1.3.1,Removal,
7.1.1.4.1,Alterations,
7.2.1.1.1,Equipment Plant Repairs,
7.2.1.2.1,Overhauling Services Installations Systems,
7.2.1.3.1,Testing of Equipment Plant and or Installations,
7.2.1.4.1,Commissioning of Equipment Plant and or Installations,
7.3.1.1.1,Damp Proof Courses,
7.3.2.1.1,Eradication Treatment,
7.4.1.1.1,Support Structures,
7.4.1.2.1,Periodic Technical Inspections of Support Structures,
7.4.1.3.1,Removing Support Structures,
7.5.1.1.1,Cleaning Existing Services details,
7.5.2.1.1,Protective Coatings to Existing Surfaces,
7.6.1.1.1,Masonry Repairs Details,
7.6.2.1.1,Concrete Repairs Details,
7.6.3.1.1,Metal Repairs Details,
7.6.4.1.1,Timber Repairs Details,
7.6.5.1.1,Pastic Repairs Details,
8,External Works,
8.1,Site Preparation Works,
8.1.1.1.1,Clearing Vegetation,
8.1.1.2.1,Taking Down Trees,
8.1.1.3.1,Removing Tree Stumps and Roots,
8.1.1.4.1,Tree Protection,
8.1.1.5.1,Minor Demolition Works,
8.1.1.6.1,Applying Herbicides,
8.1.2.1.1,Forming New Site Contours and Adjusting Existing Site Levels,
8.1.2.2.1,Breaking out existing Structures,
8.1.2.3.1,Breaking out Existing Hard Pavings,
8.1.2.4.1,Grubbing Up Old Drainage Pipelines,
8.1.2.5.1,Grubbing Up Old Manholes,
8.1.2.6.1,Filling Disused Manholes,
8.1.2.7.1,Removing Underground Storage Tanks,
8.2.1.1.1,Roads,
8.2.1.10.1,Vehicle Protection Barriers,
8.2.1.11.1,Bumpers,
8.2.1.12.1,Pavement Markings,
8.2.1.13.1,Repairs to Existing Roads Paths and Pavings,
8.2.1.2.1,Paths,
8.2.1.3.1,Paved Areas and Hardstandings,
8.2.1.4.1,Roundabouts,
8.2.1.5.1,Road Crossings,
8.2.1.6.1,Steps,
8.2.1.7.1,Ramps,
8.2.1.8.1,traffic Calming Accessories,
8.2.1.9.1,Tree Grilles,
8.2.2.1.1,Special Surfacings and Pavings,
8.3.1.1.1,Grassed Areas,
8.3.1.2.1,Reinforced Grass Proprietary Systems,
8.3.1.3.1,Marking Out of Grass Sports Pitches,
8.3.1.4.1,Work to Existing Grass Areas,
8.3.1.5.1,Maintenance of Grass Areas,
8.3.2.1.1,Planting,
8.3.2.2.1,Planting Reed Beds,
8.3.2.3.1,Hedges,
8.3.2.4.1,Trees,
8.3.2.5.1,Woodland Planting,
8.3.2.6.1,Tree Surgery Thinning and Pruning,
8.3.2.7.1,Maintenance Work to Plants and Shrubs and Planting Beds,
8.3.2.8.1,Maintenance Work to Trees,
8.3.2.9.1,Maintenance Work to Hedges,
8.3.3.1.1,Irrigation Systems,
8.3.3.2.1,Testing of Installations,
8.3.3.3.1,Commissioning of Installations,
8.4.1.1.1,Fencing,
8.4.1.2.1,Railings,
8.4.1.3.1,Gates,
8.4.2.1.1,Walls,
8.4.2.2.1,Screens,
8.4.2.3.1,Gates,
8.4.3.1.1,Retaining Walls,
8.4.4.1.1,Vehicle Restraint Systems,
8.4.4.2.1,Pedestrian restraint Systems,
8.4.4.3.1,Vehicle and Pedestrian Control Barriers and Gates,
8.5.1.1.1,Component,
8.5.2.1.1,Water Features,
8.5.2.2.1,Other Features,
8.6.1.1.1,Connections to Statutory Undertakers Sewers,
8.6.1.2.1,Drainage Runs Below Ground,
8.6.1.3.1,Drainage Runs Above Ground,
8.6.1.4.1,Prefabricated Channels,
8.6.1.5.1,Manholes and The Like,
8.6.1.6.1,Alterations to Existing External Drainage Systems,
8.6.1.7.1,Work to Existing Manholes,
8.6.1.8.1,Clearing Existing Drains,
8.6.1.9.1,Sealing Redundant Drains,
8.6.2.1.1,Pumping Stations,
8.6.2.2.1,Ejector Stations,
8.6.2.3.1,Storage Retention Tanks and Vessels,
8.6.2.4.1,Sewage Treatment Systems,
8.6.2.5.1,Enzyme Systems,
8.6.2.6.1,Sustainable Urban Drainage Schemes,
8.6.2.7.1,Testing of Installations,
8.6.2.8.1,Commissioning of Installations,
8.6.3.1.1,Drainage Runs Below Ground,
8.6.3.2.1,Drainage Runs Above Ground,
8.6.3.3.1,Equipment and Plant,
8.6.3.4.1,Testing of Installations,
8.6.3.5.1,Commissioning of Installations,
8.6.4.1.1,Drainage Runs Below Ground,
8.6.4.2.1,Manholes and The Like,
8.6.4.3.1,Drainage Blankets,
8.6.4.4.1,Land Drainage to Parkland,
8.6.4.5.1,Testing of Installations,
8.6.4.6.1,Commissioning of Installations,
8.7.1.1.1,Connections to Statutory Undertakers Water Main,
8.7.1.2.1,Connections to External Plant and Equipment,
8.7.1.3.1,Service Runs,
8.7.1.4.1,Rainwater Harvesting Systems,
8.7.1.5.1,Grey Water Systems,
8.7.1.6.1,Testing of Installations,
8.7.1.7.1,Commissioning of Installations,
8.7.10.1.1,Heat Source Associated Plant and Equipment,
8.7.10.2.1,Service Runs,
8.7.10.3.1,External Heating Ducts and Ducts Access Covers,
8.7.10.4.1,Testing of Installations,
8.7.10.5.1,Commissioning of Installations,
8.7.11.1.1,Ducts and The Like,
8.7.11.2.1,Support to External Storage Tanks Vessels,
8.7.11.3.1,Fuel Bunds and The Like to Storage Retention Tanks and Vessels,
8.7.11.4.1,Protective Compounds Fencing Storage Racks Associated With LPG Installations,
8.7.11.5.1,Protective Compounds Connected With Transformer Sub-Stations,
8.7.11.6.1,Bases for Services Equipment,
